month,frame,family,n_test,brier,brier_base,skill,base
2019-11,4h,through,3734,0.15618,0.16905,0.0762,0.848
2019-11,1d,bounce,3734,0.00286,0.00189,-0.5105,0.0435
2019-11,1d,through,3734,0.00914,0.00691,-0.3222,0.9168
2019-12,5m,bounce,4121,0.20797,0.2224,0.0649,0.2803
2019-12,5m,through,4121,0.17677,0.1968,0.1018,0.3351
2019-12,15m,bounce,4121,0.18677,0.20177,0.0743,0.2074
2019-12,15m,through,4121,0.23204,0.25422,0.0872,0.5169
2019-12,1h,bounce,4121,0.11583,0.1167,0.0075,0.1159
2019-12,1h,through,4121,0.21449,0.21458,0.0004,0.7242
2019-12,4h,bounce,4121,0.05053,0.04951,-0.0205,0.0686
2019-12,4h,through,4121,0.10045,0.09321,-0.0776,0.8462
2019-12,1d,bounce,4121,0.00098,0.00177,0.4478,0.0421
2019-12,1d,through,4121,0.00486,0.00648,0.2497,0.9195
2020-01,5m,bounce,6232,0.1906,0.20448,0.0678,0.2819
2020-01,5m,through,6232,0.19845,0.21833,0.0911,0.3324
2020-01,15m,bounce,6232,0.14564,0.15465,0.0582,0.2096
2020-01,15m,through,6232,0.24166,0.24967,0.0321,0.5124
2020-01,1h,bounce,6232,0.09585,0.09997,0.0412,0.1166
2020-01,1h,through,6232,0.18684,0.19051,0.0193,0.7231
2020-01,4h,bounce,6232,0.06974,0.07075,0.0143,0.0681
2020-01,4h,through,6232,0.12578,0.12842,0.0205,0.848
2020-01,1d,bounce,6232,0.00191,0.00166,-0.1512,0.0407
2020-01,1d,through,6232,0.00608,0.00605,-0.0044,0.9222
2020-02,5m,bounce,5532,0.19671,0.20807,0.0546,0.2821
2020-02,5m,through,5532,0.20477,0.21353,0.041,0.3319
2020-02,15m,bounce,5532,0.16118,0.16846,0.0432,0.2087
2020-02,15m,through,5532,0.24072,0.25002,0.0372,0.5127
2020-02,1h,bounce,5532,0.09729,0.09496,-0.0245,0.1164
2020-02,1h,through,5532,0.17179,0.18549,0.0739,0.7242
2020-02,4h,bounce,5532,0.06191,0.06288,0.0155,0.0685
2020-02,4h,through,5532,0.11966,0.12149,0.015,0.848
2020-02,1d,bounce,5532,0.03113,0.02968,-0.0488,0.0387
2020-02,1d,through,5532,0.06707,0.06246,-0.0738,0.926
2020-03,5m,bounce,5197,0.16642,0.18403,0.0957,0.2827
2020-03,5m,through,5197,0.19908,0.24583,0.1901,0.3309
2020-03,15m,bounce,5197,0.13912,0.15589,0.1076,0.2089
2020-03,15m,through,5197,0.21821,0.24863,0.1223,0.5124
2020-03,1h,bounce,5197,0.09305,0.10005,0.07,0.1159
2020-03,1h,through,5197,0.17224,0.18817,0.0847,0.7255
2020-03,4h,bounce,5197,0.07034,0.07328,0.0401,0.0684
2020-03,4h,through,5197,0.12198,0.13145,0.0721,0.8485
2020-03,1d,bounce,5197,0.04798,0.04606,-0.0417,0.0384
2020-03,1d,through,5197,0.09388,0.08992,-0.0441,0.9263
2020-04,5m,bounce,3681,0.19605,0.2133,0.0809,0.2811
2020-04,5m,through,3681,0.16128,0.20007,0.1939,0.3336
2020-04,15m,bounce,3681,0.17151,0.18714,0.0835,0.2083
2020-04,15m,through,3681,0.21192,0.25199,0.159,0.5142
2020-04,1h,bounce,3681,0.09517,0.09962,0.0447,0.1158
2020-04,1h,through,3681,0.19316,0.19762,0.0226,0.7264
2020-04,4h,bounce,3681,0.04341,0.04574,0.0508,0.0688
2020-04,4h,through,3681,0.1026,0.10552,0.0277,0.8483
2020-04,1d,bounce,3681,0.0386,0.03909,0.0127,0.0387
2020-04,1d,through,3681,0.0753,0.07721,0.0248,0.9253
2020-05,5m,bounce,4656,0.20597,0.22395,0.0803,0.2817
2020-05,5m,through,4656,0.16302,0.18518,0.1196,0.3319
2020-05,15m,bounce,4656,0.16902,0.18192,0.0709,0.2093
2020-05,15m,through,4656,0.22827,0.25215,0.0947,0.5122
2020-05,1h,bounce,4656,0.07985,0.08173,0.023,0.1157
2020-05,1h,through,4656,0.17085,0.18407,0.0718,0.7265
2020-05,4h,bounce,4656,0.04519,0.0449,-0.0064,0.0683
2020-05,4h,through,4656,0.10493,0.10494,0.0001,0.8492
2020-05,1d,bounce,4656,0.03471,0.03281,-0.0579,0.0388
2020-05,1d,through,4656,0.0642,0.06313,-0.0169,0.9251
2020-06,5m,bounce,3080,0.23814,0.24673,0.0348,0.2833
2020-06,5m,through,3080,0.17153,0.18151,0.055,0.3284
2020-06,15m,bounce,3080,0.20423,0.20584,0.0078,0.2102
2020-06,15m,through,3080,0.24398,0.25178,0.031,0.5093
2020-06,1h,bounce,3080,0.1271,0.12598,-0.0089,0.1149
2020-06,1h,through,3080,0.21851,0.22036,0.0084,0.7275
2020-06,4h,bounce,3080,0.05256,0.04669,-0.1259,0.0676
2020-06,4h,through,3080,0.117,0.10339,-0.1316,0.8502
2020-06,1d,bounce,3080,0.02296,0.00599,-2.834,0.0386
2020-06,1d,through,3080,0.04434,0.01718,-1.5812,0.9253
2020-07,5m,bounce,5964,0.18204,0.19537,0.0682,0.2853
2020-07,5m,through,5964,0.20934,0.2533,0.1736,0.3261
2020-07,15m,bounce,5964,0.14333,0.15503,0.0754,0.2116
2020-07,15m,through,5964,0.21718,0.24864,0.1265,0.5072
2020-07,1h,bounce,5964,0.10779,0.11017,0.0216,0.1155
2020-07,1h,through,5964,0.17819,0.19094,0.0668,0.7265
2020-07,4h,bounce,5964,0.09557,0.09682,0.0129,0.0672
2020-07,4h,through,5964,0.15925,0.1592,-0.0003,0.8509
2020-07,1d,bounce,5964,0.07776,0.07891,0.0146,0.038
2020-07,1d,through,5964,0.12236,0.12612,0.0299,0.9266
2020-08,5m,bounce,3390,0.19467,0.20731,0.061,0.2846
2020-08,5m,through,3390,0.17117,0.21209,0.193,0.3298
2020-08,15m,bounce,3390,0.16014,0.16916,0.0533,0.2108
2020-08,15m,through,3390,0.22566,0.25017,0.098,0.5107
2020-08,1h,bounce,3390,0.09344,0.09547,0.0212,0.1159
2020-08,1h,through,3390,0.18957,0.18742,-0.0115,0.7272
2020-08,4h,bounce,3390,0.02273,0.02177,-0.0439,0.0687
2020-08,4h,through,3390,0.06644,0.06189,-0.0735,0.8492
2020-08,1d,bounce,3390,0.00312,0.00158,-0.9814,0.0397
2020-08,1d,through,3390,0.0083,0.00578,-0.435,0.924
2020-09,5m,bounce,5517,0.20708,0.21974,0.0576,0.2848
2020-09,5m,through,5517,0.17824,0.20422,0.1272,0.3292
2020-09,15m,bounce,5517,0.17256,0.18533,0.0689,0.2109
2020-09,15m,through,5517,0.22979,0.25061,0.0831,0.5104
2020-09,1h,bounce,5517,0.13012,0.13319,0.0231,0.1157
2020-09,1h,through,5517,0.22047,0.22759,0.0313,0.7277
2020-09,4h,bounce,5517,0.09054,0.09078,0.0026,0.0677
2020-09,4h,through,5517,0.15427,0.15531,0.0067,0.8512
2020-09,1d,bounce,5517,0.02378,0.02324,-0.0233,0.0389
2020-09,1d,through,5517,0.05613,0.05583,-0.0053,0.9256
2020-10,5m,bounce,5626,0.2149,0.22269,0.0349,0.286
2020-10,5m,through,5626,0.16722,0.17664,0.0533,0.3276
2020-10,15m,bounce,5626,0.1744,0.18132,0.0381,0.212
2020-10,15m,through,5626,0.24528,0.25186,0.0261,0.5093
2020-10,1h,bounce,5626,0.10146,0.10396,0.024,0.1171
2020-10,1h,through,5626,0.21122,0.21379,0.012,0.7255
2020-10,4h,bounce,5626,0.06335,0.06329,-0.0009,0.0688
2020-10,4h,through,5626,0.1334,0.13037,-0.0233,0.8498
2020-10,1d,bounce,5626,0.05698,0.05694,-0.0006,0.0384
2020-10,1d,through,5626,0.09773,0.0965,-0.0128,0.9261
2020-11,5m,bounce,9596,0.17784,0.1951,0.0885,0.2874
2020-11,5m,through,9596,0.20595,0.24787,0.1691,0.3234
2020-11,15m,bounce,9596,0.13834,0.14621,0.0538,0.2128
2020-11,15m,through,9596,0.23387,0.24886,0.0602,0.5058
2020-11,1h,bounce,9596,0.08279,0.08721,0.0507,0.1171
2020-11,1h,through,9596,0.16876,0.1773,0.0482,0.7244
2020-11,4h,bounce,9596,0.06388,0.06594,0.0312,0.0687
2020-11,4h,through,9596,0.11275,0.11931,0.055,0.8497
2020-11,1d,bounce,9596,0.03484,0.03678,0.0528,0.0391
2020-11,1d,through,9596,0.05513,0.0609,0.0948,0.925
2020-12,5m,bounce,6103,0.19337,0.20943,0.0767,0.2862
2020-12,5m,through,6103,0.19292,0.214,0.0985,0.3278
2020-12,15m,bounce,6103,0.16027,0.17011,0.0578,0.2108
2020-12,15m,through,6103,0.23568,0.25011,0.0577,0.5109
2020-12,1h,bounce,6103,0.11282,0.11551,0.0233,0.116
2020-12,1h,through,6103,0.20015,0.20918,0.0432,0.7271
2020-12,4h,bounce,6103,0.09407,0.09262,-0.0156,0.0688
2020-12,4h,through,6103,0.15717,0.15408,-0.02,0.8503
2020-12,1d,bounce,6103,0.10065,0.10228,0.0159,0.039
