depth,combo,cells,extinct
5,coin|etype|virgin|session|ob55,3475,False
5,coin|etype|virgin|session|dtype,2416,False
5,coin|etype|virgin|session|lean,2806,False
5,coin|etype|virgin|session|scen_state,2602,False
5,coin|etype|virgin|session|scen_failed,2771,False
5,coin|etype|virgin|wknd|hayden,1420,False
5,coin|etype|virgin|wknd|hayden_btc,1437,False
5,coin|etype|virgin|wknd|btc_pi,827,False
5,coin|etype|virgin|wknd|origin,2398,False
5,coin|etype|virgin|wknd|tn,1336,False
5,coin|etype|virgin|wknd|dq,1468,False
5,coin|etype|virgin|wknd|sq,1597,False
5,coin|etype|virgin|wknd|vq,1611,False
5,coin|etype|virgin|wknd|rq,1812,False
5,coin|etype|virgin|wknd|kq,1851,False
5,coin|etype|virgin|wknd|uq,1907,False
5,coin|etype|virgin|wknd|yd_arch,1441,False
5,coin|etype|virgin|wknd|ob55,1768,False
5,coin|etype|virgin|wknd|dtype,994,False
5,coin|etype|virgin|wknd|lean,1148,False
5,coin|etype|virgin|wknd|scen_state,1501,False
5,coin|etype|virgin|wknd|scen_failed,1112,False
5,coin|etype|virgin|hayden|hayden_btc,1631,False
5,coin|etype|virgin|hayden|btc_pi,1111,False
5,coin|etype|virgin|hayden|origin,2811,False
5,coin|etype|virgin|hayden|tn,1804,False
5,coin|etype|virgin|hayden|dq,1891,False
5,coin|etype|virgin|hayden|sq,2102,False
5,coin|etype|virgin|hayden|vq,2115,False
5,coin|etype|virgin|hayden|rq,2435,False
5,coin|etype|virgin|hayden|kq,2466,False
5,coin|etype|virgin|hayden|uq,2542,False
5,coin|etype|virgin|hayden|yd_arch,1942,False
5,coin|etype|virgin|hayden|ob55,1833,False
5,coin|etype|virgin|hayden|dtype,1487,False
5,coin|etype|virgin|hayden|lean,1958,False
5,coin|etype|virgin|hayden|scen_state,2094,False
5,coin|etype|virgin|hayden|scen_failed,1874,False
5,coin|etype|virgin|hayden_btc|btc_pi,1101,False
5,coin|etype|virgin|hayden_btc|origin,2784,False
5,coin|etype|virgin|hayden_btc|tn,1822,False
5,coin|etype|virgin|hayden_btc|dq,1929,False
5,coin|etype|virgin|hayden_btc|sq,2152,False
5,coin|etype|virgin|hayden_btc|vq,2161,False
5,coin|etype|virgin|hayden_btc|rq,2448,False
5,coin|etype|virgin|hayden_btc|kq,2549,False
5,coin|etype|virgin|hayden_btc|uq,2605,False
5,coin|etype|virgin|hayden_btc|yd_arch,1974,False
5,coin|etype|virgin|hayden_btc|ob55,1982,False
5,coin|etype|virgin|hayden_btc|dtype,1480,False
5,coin|etype|virgin|hayden_btc|lean,1965,False
5,coin|etype|virgin|hayden_btc|scen_state,2135,False
5,coin|etype|virgin|hayden_btc|scen_failed,1857,False
5,coin|etype|virgin|btc_pi|origin,2027,False
5,coin|etype|virgin|btc_pi|tn,998,False
5,coin|etype|virgin|btc_pi|dq,1082,False
5,coin|etype|virgin|btc_pi|sq,1135,False
5,coin|etype|virgin|btc_pi|vq,1156,False
5,coin|etype|virgin|btc_pi|rq,1349,False
5,coin|etype|virgin|btc_pi|kq,1397,False
5,coin|etype|virgin|btc_pi|uq,1420,False
5,coin|etype|virgin|btc_pi|yd_arch,1090,False
5,coin|etype|virgin|btc_pi|ob55,1218,False
5,coin|etype|virgin|btc_pi|dtype,886,False
5,coin|etype|virgin|btc_pi|lean,1077,False
5,coin|etype|virgin|btc_pi|scen_state,1477,False
5,coin|etype|virgin|btc_pi|scen_failed,1026,False
5,coin|etype|virgin|origin|tn,2545,False
5,coin|etype|virgin|origin|dq,2353,False
5,coin|etype|virgin|origin|sq,2868,False
5,coin|etype|virgin|origin|vq,2815,False
