month,frame,family,n_test,n_train,brier,brier_base,skill,base
2024-01,5m,bounce,5044,410401,0.21255,0.22196,0.0424,0.2939
2024-01,5m,through,5044,410401,0.19331,0.19797,0.0235,0.3151
2024-02,5m,bounce,7028,415445,0.19851,0.20831,0.047,0.2943
2024-02,5m,through,7028,415445,0.21728,0.23041,0.057,0.3145
2024-03,5m,bounce,8110,422473,0.19215,0.19984,0.0385,0.2943
2024-03,5m,through,8110,422473,0.22231,0.22997,0.0333,0.3152
2024-04,5m,bounce,6045,430583,0.21332,0.22568,0.0548,0.2939
2024-04,5m,through,6045,430583,0.18581,0.18281,-0.0164,0.3159
2024-05,5m,bounce,6139,436628,0.20652,0.21547,0.0416,0.2946
2024-05,5m,through,6139,436628,0.18479,0.20401,0.0942,0.3146
2024-06,5m,bounce,5253,442767,0.21291,0.22527,0.0548,0.2948
2024-06,5m,through,5253,442767,0.18214,0.20335,0.1043,0.3142
2024-07,5m,bounce,6860,448020,0.21626,0.22572,0.0419,0.2953
2024-07,5m,through,6860,448020,0.19954,0.20379,0.0208,0.3138
2024-08,5m,bounce,4768,454880,0.2157,0.22068,0.0225,0.296
2024-08,5m,through,4768,454880,0.18156,0.18486,0.0178,0.3133
2024-09,5m,bounce,4543,459648,0.22276,0.23352,0.0461,0.2963
2024-09,5m,through,4543,459648,0.15462,0.16807,0.08,0.3125
2024-10,5m,bounce,5489,464191,0.20849,0.21817,0.0444,0.2969
2024-10,5m,through,5489,464191,0.19045,0.19866,0.0413,0.3113
2024-11,5m,bounce,10918,469680,0.18104,0.19164,0.0553,0.2971
2024-11,5m,through,10918,469680,0.22026,0.24504,0.1011,0.3108
2024-12,5m,bounce,5487,480598,0.21429,0.22219,0.0355,0.2962
2024-12,5m,through,5487,480598,0.1764,0.18919,0.0676,0.3126
2025-01,5m,bounce,6954,486085,0.19814,0.21146,0.063,0.2966
2025-01,5m,through,6954,486085,0.20213,0.22003,0.0814,0.3119
2025-02,5m,bounce,5683,493039,0.20639,0.21581,0.0437,0.2967
2025-02,5m,through,5683,493039,0.19596,0.2085,0.0601,0.3121
2025-03,5m,bounce,4620,498722,0.21951,0.22874,0.0404,0.2969
2025-03,5m,through,4620,498722,0.14712,0.17325,0.1508,0.3119
2025-04,5m,bounce,6001,503342,0.22032,0.22627,0.0263,0.2973
2025-04,5m,through,6001,503342,0.19767,0.19371,-0.0205,0.3109
2025-05,5m,bounce,6796,509343,0.20121,0.21466,0.0626,0.2978
2025-05,5m,through,6796,509343,0.18574,0.19889,0.0661,0.3102
2025-06,5m,bounce,5318,516139,0.23294,0.24492,0.0489,0.298
2025-06,5m,through,5318,516139,0.16478,0.17249,0.0447,0.3097
2025-07,5m,bounce,7188,521457,0.19277,0.20505,0.0599,0.2989
2025-07,5m,through,7188,521457,0.19461,0.20776,0.0633,0.3086
2025-08,5m,bounce,6119,528645,0.22485,0.23844,0.057,0.2987
2025-08,5m,through,6119,528645,0.1533,0.1697,0.0967,0.3084
2025-09,5m,bounce,4235,534764,0.21094,0.22122,0.0464,0.2996
2025-09,5m,through,4235,534764,0.1506,0.16701,0.0983,0.3071
2025-10,5m,bounce,6291,538999,0.21193,0.22265,0.0482,0.2998
2025-10,5m,through,6291,538999,0.18061,0.19468,0.0723,0.3062
2025-11,5m,bounce,4408,545290,0.22818,0.23989,0.0488,0.3002
2025-11,5m,through,4408,545290,0.14463,0.16009,0.0966,0.3056
2025-12,5m,bounce,3658,549698,0.21637,0.22641,0.0443,0.3008
2025-12,5m,through,3658,549698,0.17037,0.17888,0.0476,0.3046
2026-01,5m,bounce,5446,553356,0.19747,0.20658,0.0441,0.301
2026-01,5m,through,5446,553356,0.19566,0.20758,0.0574,0.304
2026-02,5m,bounce,5610,558802,0.21374,0.2193,0.0253,0.3009
2026-02,5m,through,5610,558802,0.17558,0.18995,0.0757,0.3039
2026-03,5m,bounce,4230,564412,0.22652,0.23257,0.026,0.3012
2026-03,5m,through,4230,564412,0.12862,0.14977,0.1412,0.3034
2026-04,5m,bounce,3210,568642,0.21759,0.22484,0.0323,0.3016
2026-04,5m,through,3210,568642,0.11931,0.14296,0.1654,0.3022
2026-05,5m,bounce,5193,571852,0.21491,0.22245,0.0339,0.3018
2026-05,5m,through,5193,571852,0.14601,0.15773,0.0742,0.3012
2026-06,5m,bounce,5165,577045,0.19335,0.20429,0.0536,0.302
2026-06,5m,through,5165,577045,0.19218,0.21592,0.11,0.3
2026-07,5m,bounce,2966,582210,0.22213,0.2302,0.0351,0.3019
2026-07,5m,through,2966,582210,0.12073,0.14306,0.1561,0.3002
2018-09,15m,bounce,5916,39969,0.17234,0.17004,-0.0135,0.2198
2018-09,15m,through,5916,39969,0.25442,0.25271,-0.0068,0.4748
2018-10,15m,bounce,3040,45885,0.18292,0.19175,0.0461,0.2195
2018-10,15m,through,3040,45885,0.24058,0.24754,0.0281,0.4834
2018-11,15m,bounce,9628,48925,0.13928,0.13986,0.0042,0.2218
